0 0.173 0.082 1.241 0.259 0.00183822
1 0.177 0.077 1.228 0.367 0.00178057
2 0.19 0.077 1.25 0.474 0.0011285
3 0.197 0.131 1.453 0.145 0.000600727
4 0.193 0.124 1.453 0.195 0.000782767
5 0.194 0.124 1.453 0.367 0.000819036
6 0.275 0.115 1.255 0.143 0.000499573
7 0.248 0.093 1.24 0.251 0.000992812
8 0.249 0.083 1.228 0.376 0.00103407
9 0.256 0.081 1.227 0.515 0.000635962
10 0.277 0.08 1.242 0.647 0.000215093
11 0.292 0.077 1.278 0.77 -7.53596e-06
12 0.271 0.141 1.395 0.133 0.000336539
13 0.264 0.132 1.399 0.208 0.000502512
14 0.261 0.132 1.401 0.375 0.000533005
15 0.268 0.132 1.399 0.516 0.000321909
16 0.291 0.127 1.418 0.624 0.000140784
17 0.289 0.186 1.48 0.126 0.000198919
18 0.288 0.183 1.473 0.177 0.000265699
19 0.289 0.186 1.481 0.368 0.000301341
20 0.29 0.185 1.481 0.516 0.000189981
21 0.357 0.113 1.259 0.138 0.000262595
22 0.346 0.099 1.242 0.248 0.000464082
23 0.345 0.089 1.231 0.383 0.000508543
24 0.348 0.083 1.227 0.521 0.000361303
25 0.351 0.082 1.227 0.667 0.000143264
26 0.361 0.081 1.239 0.806 -6.21788e-06
27 0.379 0.077 1.25 0.941 -7.04181e-05
28 0.393 0.077 1.307 1.065 -8.05581e-05
29 0.355 0.144 1.399 0.12 0.000158665
30 0.35 0.136 1.393 0.222 0.000269608
31 0.354 0.134 1.398 0.374 0.000280187
32 0.35 0.136 1.395 0.52 0.000194415
33 0.356 0.135 1.4 0.662 7.75141e-05
34 0.38 0.131 1.41 0.785 7.8462e-06
35 0.395 0.126 1.484 0.903 -2.22261e-05
36 0.351 0.186 1.481 0.104 0.000103946
37 0.358 0.186 1.479 0.21 0.000169617
38 0.351 0.186 1.48 0.392 0.000189812
39 0.359 0.187 1.483 0.508 0.000130464
40 0.372 0.185 1.479 0.652 5.33547e-05
41 0.453 0.112 1.253 0.13 0.000127773
42 0.446 0.1 1.24 0.243 0.000228792
43 0.445 0.093 1.232 0.385 0.000259103
44 0.447 0.087 1.229 0.523 0.000200651
45 0.447 0.083 1.225 0.671 0.000100718
46 0.449 0.082 1.226 0.817 1.25263e-05
