FIT  1  878.921441  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  1  105191.631396  0.024334  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  2  103000.203798  0.022900  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  3  26717.265616  0.023975  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  4  26660.212908  0.023258  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  5  7308.185163  0.023796  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  6  7391.583631  0.023437  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  7  2459.957232  0.023706  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  8  2515.583886  0.023527  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  9  1262.042964  0.023661  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  10  1291.444016  0.023572  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  11  973.173190  0.023639  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  12  988.253922  0.023594  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  13  901.733276  0.023628  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  14  909.473255  0.023605  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  15  883.262420  0.023622  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  16  886.970424  0.023611  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  17  879.452655  0.023619  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  18  881.137051  0.023614  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  19  878.986199  0.023618  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
BLNY  20  879.996958  0.023615  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  1  16121.561791  0.023617  0.261971  -0.195220  1.695860  0.360717  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  2  16883.045038  0.023617  0.261971  -0.195220  1.695860  0.280485  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  3  4727.881760  0.023617  0.261971  -0.195220  1.695860  0.340659  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  4  4839.808960  0.023617  0.261971  -0.195220  1.695860  0.300543  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  5  1843.925362  0.023617  0.261971  -0.195220  1.695860  0.330630  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  6  1866.271536  0.023617  0.261971  -0.195220  1.695860  0.310572  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  7  1119.520927  0.023617  0.261971  -0.195220  1.695860  0.325616  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  8  1126.393121  0.023617  0.261971  -0.195220  1.695860  0.315587  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  9  938.438432  0.023617  0.261971  -0.195220  1.695860  0.323108  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  10  941.391835  0.023617  0.261971  -0.195220  1.695860  0.318094  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  11  893.476034  0.023617  0.261971  -0.195220  1.695860  0.321855  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  12  894.891973  0.023617  0.261971  -0.195220  1.695860  0.319347  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  13  882.386956  0.023617  0.261971  -0.195220  1.695860  0.321228  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  14  883.089643  0.023617  0.261971  -0.195220  1.695860  0.319974  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
