NAN  idx chi2        BLNY      Nu_c       Nd_c      au_c      ad_c      bu_c      bd_c      Nu_T      Nd_T      au_T      ad_T      bu_T      bd_T                                   
bd_T  7  540.586535  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  7.327780
bd_T  8  578.280334  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.665740
bd_T  9  501.957188  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  7.162270
bd_T  10  515.686276  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.831250
bd_T  11  493.097344  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  7.079520
bd_T  12  499.322460  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.914000
bd_T  13  491.541903  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  7.038140
bd_T  14  494.575108  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.955380
bd_T  15  491.517618  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  7.017450
bd_T  16  493.024235  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.976070
bd_T  17  491.698081  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  7.007100
bd_T  18  492.449784  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.986420
bd_T  19  491.838790  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  7.001930
bd_T  20  492.212606  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.991590
bu_T  1  5614.994129  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.087089  6.996760
bu_T  2  8765.493592  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.009302  6.996760
bu_T  3  1852.422918  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.067642  6.996760
bu_T  4  2248.767085  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.028749  6.996760
bu_T  5  837.196765  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.057919  6.996760
bu_T  6  915.464126  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.038472  6.996760
bu_T  7  575.404458  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.053057  6.996760
bu_T  8  600.122283  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.043334  6.996760
bu_T  9  510.635501  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.050626  6.996760
bu_T  10  521.230757  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.045764  6.996760
bu_T  11  495.454545  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.049411  6.996760
bu_T  12  500.520036  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.046980  6.996760
bu_T  13  492.249076  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048803  6.996760
bu_T  14  494.752932  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.047588  6.996760
bu_T  15  491.756422  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048499  6.996760
bu_T  16  493.010254  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.047891  6.996760
bu_T  17  491.790954  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048347  6.996760
bu_T  18  492.416537  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048043  6.996760
bu_T  19  491.877250  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048271  6.996760
bu_T  20  492.189996  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048119  6.996760
Nd_T  1  2286.873903  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.874843  0.688367  1.794340  0.048195  6.996760
Nd_T  2  2179.078838  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -1.125150  0.688367  1.794340  0.048195  6.996760
Nd_T  3  954.221848  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.937421  0.688367  1.794340  0.048195  6.996760
Nd_T  4  900.382266  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -1.062580  0.688367  1.794340  0.048195  6.996760
Nd_T  5  614.298200  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.968710  0.688367  1.794340  0.048195  6.996760
Nd_T  6  587.360101  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -1.031290  0.688367  1.794340  0.048195  6.996760
Nd_T  7  525.949733  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.984355  0.688367  1.794340  0.048195  6.996760
Nd_T  8  512.492500  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -1.015640  0.688367  1.794340  0.048195  6.996760
Nd_T  9  502.177128  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.992177  0.688367  1.794340  0.048195  6.996760
Nd_T  10  495.439186  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -1.007820  0.688367  1.794340  0.048195  6.996760
Nd_T  11  495.392581  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.996088  0.688367  1.794340  0.048195  6.996760
Nd_T  12  492.025281  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -1.003910  0.688367  1.794340  0.048195  6.996760
Nd_T  13  493.275902  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.998043  0.688367  1.794340  0.048195  6.996760
Nd_T  14  491.591280  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -1.001950  0.688367  1.794340  0.048195  6.996760
Nd_T  15  492.535819  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999021  0.688367  1.794340  0.048195  6.996760
Nd_T  16  491.694756  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -1.000980  0.688367  1.794340  0.048195  6.996760
Nd_T  17  492.247352  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999510  0.688367  1.794340  0.048195  6.996760
Nd_T  18  491.825554  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -1.000490  0.688367  1.794340  0.048195  6.996760
Nd_T  19  492.121919  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -0.999755  0.688367  1.794340  0.048195  6.996760
Nd_T  20  491.912931  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854376 -1.000240  0.688367  1.794340  0.048195  6.996760
Nu_T  1  6848.362806  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.940928 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  2  7009.609867  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.767824 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  3  2060.852641  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.897652 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  4  2141.627586  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.811100 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  5  874.120173  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.876014 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  6  914.507757  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.832738 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  7  582.489156  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.865195 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  8  602.681201  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.843557 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  9  512.100538  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.859785 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  10  522.195434  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.848967 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  11  495.771270  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.857081 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  12  500.819954  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.851671 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  13  492.317316  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.855728 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  14  494.840683  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.853024 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  15  491.770183  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.855052 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  16  493.033747  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.853700 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  17  491.792960  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854714 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  18  492.423846  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854038 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  19  491.877062  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854545 -0.999999  0.688367  1.794340  0.048195  6.996760
Nu_T  20  492.192514  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.003614  0.854207 -0.999999  0.688367  1.794340  0.048195  6.996760
