NAN  idx chi2        BLNY      Nu_c       Nd_c      au_c      ad_c      bu_c      bd_c      Nu_T      Nd_T      au_T      ad_T      bu_T      bd_T                                   
ad_c  19  492.043229  0.023617  0.261971  -0.195220  1.695860  0.320679  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
ad_c  20  491.980016  0.023617  0.261971  -0.195220  1.695860  0.320523  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  1  495.529947  0.023617  0.261971  -0.195220  1.703450  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  2  492.248989  0.023617  0.261971  -0.195220  1.688270  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  3  493.303927  0.023617  0.261971  -0.195220  1.699660  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  4  491.655705  0.023617  0.261971  -0.195220  1.692060  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  5  492.540472  0.023617  0.261971  -0.195220  1.697760  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  6  491.713859  0.023617  0.261971  -0.195220  1.693960  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  7  492.245957  0.023617  0.261971  -0.195220  1.696810  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  8  491.833478  0.023617  0.261971  -0.195220  1.694910  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  9  492.119494  0.023617  0.261971  -0.195220  1.696330  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  10  491.915460  0.023617  0.261971  -0.195220  1.695390  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
