## T_u            dO_u           T_d           dO_d       T_u_jlab      dO_u_jlab        T_d_jlab   dO_d_jlab
3.949700e-01  6.201599e-03  -2.189200e-01  2.426045e-02  3.104200e-01  3.642516e-03  -1.566200e-01  1.490894e-02
## x    h_u   dO_h_u    h_d   dO_h_d
7.467530e-01  2.221310e-02  2.323611e-04  -5.978220e-06  6.983999e-06
7.568420e-01  1.962940e-02  2.073190e-04  -4.178490e-06  5.121366e-06
7.669320e-01  1.724150e-02  1.838940e-04  -2.882890e-06  3.711472e-06
7.770220e-01  1.504980e-02  1.620266e-04  -1.960080e-06  2.654138e-06
7.871120e-01  1.305130e-02  1.418625e-04  -1.311450e-06  1.870654e-06
7.972020e-01  1.123240e-02  1.233464e-04  -8.621730e-07  1.297671e-06
8.072920e-01  9.582310e-03  1.062354e-04  -5.559200e-07  8.846148e-07
8.173820e-01  8.095630e-03  9.065216e-05  -3.507150e-07  5.913096e-07
8.274720e-01  6.776060e-03  7.665144e-05  -2.159380e-07  3.867131e-07
8.375620e-01  5.613690e-03  6.415663e-05  -1.293400e-07  2.467352e-07
8.476520e-01  4.590790e-03  5.301577e-05  -7.509410e-08  1.530947e-07
8.577410e-01  3.701520e-03  4.320840e-05  -4.210950e-08  9.209308e-08
8.678310e-01  2.932290e-03  3.461250e-05  -2.267480e-08  5.343086e-08
8.779210e-01  2.285660e-03  2.728632e-05  -1.165530e-08  2.974481e-08
8.880110e-01  1.746000e-03  2.109742e-05  -5.672150e-09  1.577352e-08
8.981010e-01  1.299670e-03  1.590318e-05  -2.588320e-09  7.901018e-09
9.081910e-01  9.405610e-04  1.166515e-05  -1.093560e-09  3.697260e-09
9.182810e-01  6.528700e-04  8.216662e-06  -4.201840e-10  1.591077e-09
9.283710e-01  4.376790e-04  5.596882e-06  -1.435130e-10  6.173228e-10
9.384610e-01  2.745680e-04  3.575198e-06  -4.203530e-11  2.092669e-10
9.485510e-01  1.610600e-04  2.141679e-06  -1.005000e-11  5.939323e-11
9.586400e-01  8.213790e-05  1.120240e-06  -1.783110e-12  1.297782e-11
9.687300e-01  3.780230e-05  5.323627e-07  -2.008450e-13  1.907040e-12
9.788200e-01  1.166210e-05  1.717944e-07  -9.910910e-15  1.360026e-13
9.889100e-01  6.279980e-07  1.003207e-08  -6.046860e-17  1.512281e-15
9.990000e-01  -8.083850e-08  1.740040e-09  -1.731550e-17  1.365848e-16
