## T_u            dO_u           T_d           dO_d       T_u_jlab      dO_u_jlab        T_d_jlab   dO_d_jlab
3.949700e-01  3.075581e-03  -2.189200e-01  2.813174e-03  3.061500e-01  2.369826e-03  -1.626900e-01  2.007274e-03
## x    h_u   dO_h_u    h_d   dO_h_d
7.467530e-01  2.221310e-02  1.701399e-04  -5.978220e-06  1.519377e-07
7.568420e-01  1.962940e-02  1.503598e-04  -4.178490e-06  1.071771e-07
7.669320e-01  1.724150e-02  1.320758e-04  -2.882890e-06  7.465391e-08
7.770220e-01  1.504980e-02  1.152874e-04  -1.960080e-06  5.126491e-08
7.871120e-01  1.305130e-02  9.995505e-05  -1.311450e-06  3.465923e-08
7.972020e-01  1.123240e-02  8.608873e-05  -8.621730e-07  2.303902e-08
8.072920e-01  9.582310e-03  7.343041e-05  -5.559200e-07  1.502964e-08
8.173820e-01  8.095630e-03  6.204763e-05  -3.507150e-07  9.599838e-09
8.274720e-01  6.776060e-03  5.193925e-05  -2.159380e-07  5.989744e-09
8.375620e-01  5.613690e-03  4.303746e-05  -1.293400e-07  3.639057e-09
8.476520e-01  4.590790e-03  3.519907e-05  -7.509410e-08  2.145317e-09
8.577410e-01  3.701520e-03  2.838777e-05  -4.210950e-08  1.223132e-09
8.678310e-01  2.932290e-03  2.249808e-05  -2.267480e-08  6.706639e-10
8.779210e-01  2.285660e-03  1.754358e-05  -1.165530e-08  3.516718e-10
8.880110e-01  1.746000e-03  1.340744e-05  -5.672150e-09  1.749255e-10
8.981010e-01  1.299670e-03  9.986915e-06  -2.588320e-09  8.178458e-11
9.081910e-01  9.405610e-04  7.230779e-06  -1.093560e-09  3.550939e-11
9.182810e-01  6.528700e-04  5.022879e-06  -4.201840e-10  1.407075e-11
9.283710e-01  4.376790e-04  3.370730e-06  -1.435130e-10  4.978171e-12
9.384610e-01  2.745680e-04  2.116614e-06  -4.203530e-11  1.519083e-12
9.485510e-01  1.610600e-04  1.243703e-06  -1.005000e-11  3.811797e-13
9.586400e-01  8.213790e-05  6.354967e-07  -1.783110e-12  7.170788e-14
9.687300e-01  3.780230e-05  2.932740e-07  -2.008450e-13  8.696126e-15
9.788200e-01  1.166210e-05  9.089732e-08  -9.910910e-15  4.738258e-16
9.889100e-01  6.279980e-07  4.937059e-09  -6.046860e-17  3.361854e-18
9.990000e-01  -8.083850e-08  6.643856e-10  -1.731550e-17  7.421185e-19
