## T_u            dO_u           T_d           dO_d       T_u_jlab      dO_u_jlab        T_d_jlab   dO_d_jlab
3.949700e-01  6.012745e-03  -2.189200e-01  8.537040e-03  2.976300e-01  4.239953e-03  -1.610100e-01  4.119615e-03
## x    h_u   dO_h_u    h_d   dO_h_d
7.467530e-01  2.221310e-02  2.254654e-04  -5.978220e-06  3.354325e-07
7.568420e-01  1.962940e-02  1.977208e-04  -4.178490e-06  2.397018e-07
7.669320e-01  1.724150e-02  1.722865e-04  -2.882890e-06  1.692381e-07
7.770220e-01  1.504980e-02  1.491338e-04  -1.960080e-06  1.178775e-07
7.871120e-01  1.305130e-02  1.282493e-04  -1.311450e-06  8.088506e-08
7.972020e-01  1.123240e-02  1.094468e-04  -8.621730e-07  5.459866e-08
8.072920e-01  9.582310e-03  9.252065e-05  -5.559200e-07  3.619547e-08
8.173820e-01  8.095630e-03  7.744874e-05  -3.507150e-07  2.351028e-08
8.274720e-01  6.776060e-03  6.421223e-05  -2.159380e-07  1.492740e-08
8.375620e-01  5.613690e-03  5.267093e-05  -1.293400e-07  9.235552e-09
8.476520e-01  4.590790e-03  4.263543e-05  -7.509410e-08  5.548928e-09
8.577410e-01  3.701520e-03  3.401077e-05  -4.210950e-08  3.226565e-09
8.678310e-01  2.932290e-03  2.664153e-05  -2.267480e-08  1.805645e-09
8.779210e-01  2.285660e-03  2.053413e-05  -1.165530e-08  9.670371e-10
8.880110e-01  1.746000e-03  1.549923e-05  -5.672150e-09  4.917047e-10
8.981010e-01  1.299670e-03  1.139604e-05  -2.588320e-09  2.351822e-10
9.081910e-01  9.405610e-04  8.139903e-06  -1.093560e-09  1.045415e-10
9.182810e-01  6.528700e-04  5.575625e-06  -4.201840e-10  4.244394e-11
9.283710e-01  4.376790e-04  3.687830e-06  -1.435130e-10  1.539863e-11
9.384610e-01  2.745680e-04  2.281855e-06  -4.203530e-11  4.822307e-12
9.485510e-01  1.610600e-04  1.321636e-06  -1.005000e-11  1.243029e-12
9.586400e-01  8.213790e-05  6.664961e-07  -1.783110e-12  2.405121e-13
9.687300e-01  3.780230e-05  3.047240e-07  -2.008450e-13  3.004160e-14
9.788200e-01  1.166210e-05  9.446611e-08  -9.910910e-15  1.689448e-15
9.889100e-01  6.279980e-07  5.324504e-09  -6.046860e-17  1.242253e-17
9.990000e-01  -8.083850e-08  9.773093e-10  -1.731550e-17  2.561309e-18
