## T_u            dO_u           T_d           dO_d       T_u_jlab      dO_u_jlab        T_d_jlab   dO_d_jlab
3.949700e-01  5.677326e-03  -2.189200e-01  2.061565e-03  3.203600e-01  4.102706e-03  -1.710000e-01  1.587844e-03
## x    h_u   dO_h_u    h_d   dO_h_d
7.467530e-01  2.221310e-02  1.674803e-04  -5.978220e-06  4.629106e-08
7.568420e-01  1.962940e-02  1.467547e-04  -4.178490e-06  3.220868e-08
7.669320e-01  1.724150e-02  1.278470e-04  -2.882890e-06  2.212167e-08
7.770220e-01  1.504980e-02  1.107156e-04  -1.960080e-06  1.497772e-08
7.871120e-01  1.305130e-02  9.525484e-05  -1.311450e-06  9.976298e-09
7.972020e-01  1.123240e-02  8.131995e-05  -8.621730e-07  6.534576e-09
8.072920e-01  9.582310e-03  6.883331e-05  -5.559200e-07  4.198309e-09
8.173820e-01  8.095630e-03  5.770835e-05  -3.507150e-07  2.640116e-09
8.274720e-01  6.776060e-03  4.794083e-05  -2.159380e-07  1.621116e-09
8.375620e-01  5.613690e-03  3.942693e-05  -1.293400e-07  9.692172e-10
8.476520e-01  4.590790e-03  3.201531e-05  -7.509410e-08  5.619143e-10
8.577410e-01  3.701520e-03  2.563619e-05  -4.210950e-08  3.150092e-10
8.678310e-01  2.932290e-03  2.017722e-05  -2.267480e-08  1.698004e-10
8.779210e-01  2.285660e-03  1.563321e-05  -1.165530e-08  8.746797e-11
8.880110e-01  1.746000e-03  1.187770e-05  -5.672150e-09  4.277449e-11
8.981010e-01  1.299670e-03  8.795694e-06  -2.588320e-09  1.965889e-11
9.081910e-01  9.405610e-04  6.340417e-06  -1.093560e-09  8.392343e-12
9.182810e-01  6.528700e-04  4.388313e-06  -4.201840e-10  3.270934e-12
9.283710e-01  4.376790e-04  2.938009e-06  -1.435130e-10  1.139513e-12
9.384610e-01  2.745680e-04  1.844723e-06  -4.203530e-11  3.427456e-13
9.485510e-01  1.610600e-04  1.086356e-06  -1.005000e-11  8.495103e-14
9.586400e-01  8.213790e-05  5.587001e-07  -1.783110e-12  1.583262e-14
9.687300e-01  3.780230e-05  2.612256e-07  -2.008450e-13  1.910309e-15
9.788200e-01  1.166210e-05  8.302695e-08  -9.910910e-15  1.042153e-16
9.889100e-01  6.279980e-07  4.787531e-09  -6.046860e-17  7.488005e-19
9.990000e-01  -8.083850e-08  8.286238e-10  -1.731550e-17  1.632542e-19
