## T_u            dO_u           T_d           dO_d       T_u_jlab      dO_u_jlab        T_d_jlab   dO_d_jlab
3.949700e-01  1.225039e-02  -2.189200e-01  2.121833e-02  3.156200e-01  9.611325e-03  -1.621800e-01  1.258561e-02
## x    h_u   dO_h_u    h_d   dO_h_d
7.467530e-01  2.221310e-02  7.074745e-04  -5.978220e-06  1.134235e-06
7.568420e-01  1.962940e-02  6.253015e-04  -4.178490e-06  8.026103e-07
7.669320e-01  1.724150e-02  5.492803e-04  -2.882890e-06  5.606155e-07
7.770220e-01  1.504980e-02  4.795071e-04  -1.960080e-06  3.858962e-07
7.871120e-01  1.305130e-02  4.158968e-04  -1.311450e-06  2.614135e-07
7.972020e-01  1.123240e-02  3.580112e-04  -8.621730e-07  1.740133e-07
8.072920e-01  9.582310e-03  3.054696e-04  -5.559200e-07  1.136180e-07
8.173820e-01  8.095630e-03  2.581555e-04  -3.507150e-07  7.259185e-08
8.274720e-01  6.776060e-03  2.161577e-04  -2.159380e-07  4.527200e-08
8.375620e-01  5.613690e-03  1.791735e-04  -1.293400e-07  2.747155e-08
8.476520e-01  4.590790e-03  1.466305e-04  -7.509410e-08  1.616269e-08
8.577410e-01  3.701520e-03  1.183413e-04  -4.210950e-08  9.186839e-09
8.678310e-01  2.932290e-03  9.387012e-05  -2.267480e-08  5.015994e-09
8.779210e-01  2.285660e-03  7.329084e-05  -1.165530e-08  2.615524e-09
8.880110e-01  1.746000e-03  5.611896e-05  -5.672150e-09  1.291891e-09
8.981010e-01  1.299670e-03  4.189689e-05  -2.588320e-09  5.987136e-10
9.081910e-01  9.405610e-04  3.044199e-05  -1.093560e-09  2.571066e-10
9.182810e-01  6.528700e-04  2.124421e-05  -4.201840e-10  1.005110e-10
9.283710e-01  4.376790e-04  1.434508e-05  -1.435130e-10  3.497302e-11
9.384610e-01  2.745680e-04  9.088758e-06  -4.203530e-11  1.045334e-11
9.485510e-01  1.610600e-04  5.404658e-06  -1.005000e-11  2.556326e-12
9.586400e-01  8.213790e-05  2.811702e-06  -1.783110e-12  4.654743e-13
9.687300e-01  3.780230e-05  1.332460e-06  -2.008450e-13  5.408896e-14
9.788200e-01  1.166210e-05  4.310178e-07  -9.910910e-15  2.778533e-15
9.889100e-01  6.279980e-07  2.557755e-08  -6.046860e-17  1.800619e-17
9.990000e-01  -8.083850e-08  4.818814e-09  -1.731550e-17  4.657404e-18
