## T_u            dO_u           T_d           dO_d       T_u_jlab      dO_u_jlab        T_d_jlab   dO_d_jlab
3.949700e-01  8.829213e-04  -2.189200e-01  1.738893e-03  3.200300e-01  6.981046e-04  -1.710000e-01  1.368686e-03
## x    h_u   dO_h_u    h_d   dO_h_d
7.467530e-01  2.221310e-02  3.656347e-05  -5.978220e-06  5.172907e-08
7.568420e-01  1.962940e-02  3.201707e-05  -4.178490e-06  3.622574e-08
7.669320e-01  1.724150e-02  2.785507e-05  -2.882890e-06  2.504185e-08
7.770220e-01  1.504980e-02  2.406953e-05  -1.960080e-06  1.705999e-08
7.871120e-01  1.305130e-02  2.062923e-05  -1.311450e-06  1.143694e-08
7.972020e-01  1.123240e-02  1.756097e-05  -8.621730e-07  7.537851e-09
8.072920e-01  9.582310e-03  1.484050e-05  -5.559200e-07  4.871549e-09
8.173820e-01  8.095630e-03  1.239956e-05  -3.507150e-07  3.080631e-09
8.274720e-01  6.776060e-03  1.026236e-05  -2.159380e-07  1.901968e-09
8.375620e-01  5.613690e-03  8.402797e-06  -1.293400e-07  1.141945e-09
8.476520e-01  4.590790e-03  6.790900e-06  -7.509410e-08  6.649688e-10
8.577410e-01  3.701520e-03  5.410859e-06  -4.210950e-08  3.739941e-10
8.678310e-01  2.932290e-03  4.235083e-06  -2.267480e-08  2.020370e-10
8.779210e-01  2.285660e-03  3.264514e-06  -1.165530e-08  1.041990e-10
8.880110e-01  1.746000e-03  2.460391e-06  -5.672150e-09  5.089787e-11
8.981010e-01  1.299670e-03  1.813615e-06  -2.588320e-09  2.332141e-11
9.081910e-01  9.405610e-04  1.297819e-06  -1.093560e-09  9.894131e-12
9.182810e-01  6.528700e-04  8.931202e-07  -4.201840e-10  3.821227e-12
9.283710e-01  4.376790e-04  5.954914e-07  -1.435130e-10  1.312631e-12
9.384610e-01  2.745680e-04  3.729853e-07  -4.203530e-11  3.868745e-13
9.485510e-01  1.610600e-04  2.198090e-07  -1.005000e-11  9.322523e-14
9.586400e-01  8.213790e-05  1.139415e-07  -1.783110e-12  1.668782e-14
9.687300e-01  3.780230e-05  5.425922e-08  -2.008450e-13  1.901822e-15
9.788200e-01  1.166210e-05  1.792059e-08  -9.910910e-15  9.538726e-17
9.889100e-01  6.279980e-07  1.124575e-09  -6.046860e-17  5.963926e-19
9.990000e-01  -8.083850e-08  2.502036e-10  -1.731550e-17  1.644826e-19
