7
0	8
0 	0 	0.673969 	1.22279 	0.147404 	0.116685 	0.557541 	0.00371409 	5.26277e+06 	4.2237 	1.03824 	1.02078 	1.02078
0 	1 	0.674298 	1.31488 	0.129827 	0.136444 	0.52077 	0.00371264 	5.28191e+06 	6.14356 	1.00861 	1.00551 	1.00551
0 	2 	0.672703 	1.3953 	0.129497 	0.149818 	0.499621 	0.00363642 	5.54653e+06 	6.28319 	1.01284 	1.00689 	1.00689
0 	3 	0.673012 	1.46385 	0.129911 	0.161285 	0.486407 	0.00374626 	5.26989e+06 	6.28319 	1.01098 	1.00817 	1.00817
0 	4 	0.673095 	1.52281 	0.130663 	0.174031 	0.468517 	0.00384389 	5.06455e+06 	6.28319 	1.01102 	1.00584 	1.00584
0 	5 	0.672939 	1.61797 	0.122909 	0.187624 	0.459759 	0.00384619 	5.13605e+06 	6.28319 	1.00464 	1.0036 	1.0036
0 	6 	0.672299 	1.70659 	0.126804 	0.204742 	0.442388 	0.00390831 	5.08431e+06 	6.28319 	1.00524 	1.00382 	1.00382
0 	7 	0.670818 	1.81158 	0.12412 	0.232888 	0.413272 	0.00465775 	3.72438e+06 	6.28319 	1.00551 	1.00302 	1.00302
1	8
1 	0 	0.673893 	1.14826 	0.32083 	0.0936584 	0.630827 	0.00245933 	1.20439e+07 	3.42085 	1.14241 	1.07736 	1.07736
1 	1 	0.673412 	1.26823 	0.316514 	0.111135 	0.598947 	0.00255336 	1.11348e+07 	3.87463 	1.01209 	1.00611 	1.00611
1 	2 	0.675082 	1.34393 	0.30977 	0.12345 	0.577223 	0.00255795 	1.10886e+07 	4.2237 	1 	1.00009 	1.00009
1 	3 	0.67323 	1.41465 	0.303325 	0.136161 	0.548522 	0.00245211 	1.21138e+07 	4.57276 	1.01312 	1.00706 	1.00706
1 	4 	0.67343 	1.48768 	0.302768 	0.149289 	0.526062 	0.00254352 	1.13318e+07 	4.88692 	1.05995 	1.02998 	1.02998
1 	5 	0.673144 	1.55655 	0.296589 	0.163413 	0.502344 	0.00258655 	1.1076e+07 	5.13127 	1.09677 	1.04955 	1.04955
1 	6 	0.673321 	1.66033 	0.293193 	0.182343 	0.483721 	0.00260504 	1.11311e+07 	6.24828 	1.21994 	1.11005 	1.11005
1 	7 	0.671795 	1.78479 	0.286722 	0.21542 	0.438345 	0.00298418 	8.85562e+06 	6.24828 	1.24835 	1.13206 	1.13206
2	8
2 	0 	0.673385 	1.10649 	0.51004 	0.0798614 	0.690259 	0.00239031 	1.28022e+07 	3.80482 	1.06606 	1.03727 	1.03727
2 	1 	0.673939 	1.20556 	0.503503 	0.0945835 	0.656309 	0.00240586 	1.25804e+07 	4.08407 	1.00127 	1.00093 	1.00093
2 	2 	0.673953 	1.28476 	0.499359 	0.106199 	0.62929 	0.00239266 	1.2686e+07 	4.43314 	1.00353 	1.00198 	1.00198
2 	3 	0.674686 	1.36707 	0.498888 	0.117009 	0.607508 	0.00243422 	1.22423e+07 	4.53786 	1.03512 	1.01836 	1.01836
2 	4 	0.674309 	1.44191 	0.491128 	0.128362 	0.584997 	0.00247135 	1.18946e+07 	4.7473 	1.08285 	1.043 	1.043
2 	5 	0.673371 	1.53516 	0.490605 	0.141971 	0.56487 	0.00249413 	1.17409e+07 	4.81711 	1.14605 	1.07542 	1.07542
2 	6 	0.673275 	1.62276 	0.487274 	0.160927 	0.52544 	0.00250868 	1.17548e+07 	4.81711 	1.51108 	1.25571 	1.25571
2 	7 	0.671851 	1.75249 	0.47934 	0.192952 	0.479834 	0.00320456 	7.46193e+06 	5.06145 	2.19701 	1.64002 	1.64002
3	8
3 	0 	0.672749 	1.09375 	0.699533 	0.0736422 	0.728788 	0.00307595 	7.74615e+06 	4.36332 	1.00062 	1.00035 	1.00035
3 	1 	0.673123 	1.16128 	0.695111 	0.085302 	0.683975 	0.00303218 	7.94371e+06 	4.7473 	1.00912 	1.00467 	1.00467
3 	2 	0.673403 	1.23034 	0.691014 	0.0939388 	0.668198 	0.00304831 	7.83902e+06 	5.06145 	1.05212 	1.02678 	1.02678
3 	3 	0.67339 	1.31722 	0.69008 	0.103446 	0.652466 	0.00300873 	8.02822e+06 	5.06145 	1.09736 	1.0503 	1.0503
3 	4 	0.674538 	1.40193 	0.688241 	0.113691 	0.634617 	0.00311516 	7.47646e+06 	5.27089 	1.16296 	1.08152 	1.08152
3 	5 	0.674101 	1.5053 	0.684136 	0.12572 	0.612932 	0.00317463 	7.20623e+06 	5.13127 	1.24524 	1.12343 	1.12343
3 	6 	0.673806 	1.61053 	0.681032 	0.142502 	0.578352 	0.00316775 	7.28179e+06 	5.16617 	1.53182 	1.26732 	1.26732
3 	7 	0.672004 	1.73824 	0.670586 	0.171973 	0.523341 	0.00417798 	4.2892e+06 	4.57276 	2.36935 	1.76209 	1.76209
4	8
4 	0 	0.670995 	1.07735 	0.894295 	0.0700091 	0.747428 	0.0045375 	3.71226e+06 	5.96903 	1.01989 	1.01149 	1.01149
4 	1 	0.673775 	1.1453 	0.889425 	0.0797034 	0.714873 	0.00442264 	3.85273e+06 	6.28319 	1.07559 	1.03923 	1.03923
4 	2 	0.673078 	1.20296 	0.889389 	0.0869735 	0.698634 	0.00466596 	3.43561e+06 	6.28319 	1.13603 	1.07131 	1.07131
4 	3 	0.67351 	1.27066 	0.892655 	0.0944035 	0.683476 	0.00453996 	3.60407e+06 	6.28319 	1.17895 	1.09301 	1.09301
