1	50
1 	0 	0.422789 	2.14069 	0.331053 	0.125914 	0.824609 	0.000520476 	3.59538 	1.0975 	1.05214 	1.05214
1 	1 	0.424043 	2.21718 	0.31428 	0.139255 	0.779728 	0.000543037 	3.7001 	1.01714 	1.00861 	1.00861
1 	2 	0.423785 	2.24825 	0.311453 	0.147232 	0.756881 	0.0005443 	3.80482 	1.00004 	1.00015 	1.00015
1 	3 	0.423089 	2.28333 	0.308489 	0.153724 	0.742286 	0.000550463 	4.08407 	1.00045 	1.00038 	1.00038
1 	4 	0.423926 	2.31596 	0.31108 	0.15894 	0.730011 	0.000560738 	4.2586 	1 	1.00042 	1.00042
1 	5 	0.424796 	2.32275 	0.311176 	0.164091 	0.710932 	0.000554943 	4.2586 	1.01342 	1.00875 	1.00875
1 	6 	0.422935 	2.32997 	0.306696 	0.169003 	0.695625 	0.000533293 	4.46804 	1.02035 	1.01732 	1.01732
1 	7 	0.423305 	2.35521 	0.307031 	0.173892 	0.685025 	0.000528998 	4.53786 	1.01027 	1.00681 	1.00681
1 	8 	0.423271 	2.35022 	0.306023 	0.179043 	0.665024 	0.000538056 	4.53786 	1.01018 	1.0065 	1.0065
1 	9 	0.423942 	2.37382 	0.306882 	0.184072 	0.656894 	0.000534238 	4.43314 	1.01476 	1.00771 	1.00771
1 	10 	0.423992 	2.35852 	0.306014 	0.188527 	0.633856 	0.000567325 	4.53786 	1.03601 	1.02532 	1.02532
1 	11 	0.424568 	2.36459 	0.309934 	0.192521 	0.627297 	0.000594586 	4.71239 	1.02282 	1.01198 	1.01198
1 	12 	0.424377 	2.3958 	0.304737 	0.19646 	0.62577 	0.000598794 	4.7473 	1.04663 	1.02387 	1.02387
1 	13 	0.424437 	2.39354 	0.300776 	0.200476 	0.612904 	0.00059163 	4.67748 	1.04692 	1.0241 	1.0241
1 	14 	0.422193 	2.39277 	0.303852 	0.204466 	0.596032 	0.000597177 	4.81711 	1.04582 	1.02333 	1.02333
1 	15 	0.424383 	2.39067 	0.305524 	0.208467 	0.588845 	0.000590951 	4.81711 	1.02758 	1.01494 	1.01494
1 	16 	0.424485 	2.39836 	0.303359 	0.212439 	0.581682 	0.000594523 	4.92183 	1.04488 	1.02255 	1.02255
1 	17 	0.425865 	2.38272 	0.300355 	0.216487 	0.562156 	0.000584678 	4.99164 	1.02484 	1.0153 	1.0153
1 	18 	0.422573 	2.41173 	0.300012 	0.220454 	0.561319 	0.000606717 	5.20108 	1.02575 	1.01329 	1.01329
1 	19 	0.422615 	2.39061 	0.305253 	0.224508 	0.548025 	0.000608358 	5.06145 	1.062 	1.03105 	1.03105
1 	20 	0.424159 	2.38908 	0.309488 	0.228488 	0.540561 	0.000621124 	5.02655 	1.03463 	1.01739 	1.01739
1 	21 	0.4239 	2.39341 	0.303468 	0.233058 	0.530513 	0.000559151 	5.27089 	1.01864 	1.00936 	1.00936
1 	22 	0.423517 	2.396 	0.304487 	0.2379 	0.524648 	0.000588353 	5.41052 	1.05245 	1.02719 	1.02719
1 	23 	0.423791 	2.40356 	0.298447 	0.242416 	0.509256 	0.000630446 	6.14356 	1.03508 	1.01797 	1.01797
1 	24 	0.423763 	2.39326 	0.30173 	0.246604 	0.500042 	0.000628707 	5.44543 	1.0272 	1.01717 	1.01717
1 	25 	0.423691 	2.37979 	0.302467 	0.250406 	0.489021 	0.000625605 	6.07375 	1.02655 	1.01517 	1.01517
1 	26 	0.423075 	2.40108 	0.302648 	0.254444 	0.485593 	0.00065388 	5.72468 	1.01629 	1.00894 	1.00894
1 	27 	0.423836 	2.38142 	0.304546 	0.259085 	0.473074 	0.000579623 	5.79449 	1.01858 	1.01537 	1.01537
1 	28 	0.425668 	2.38909 	0.300733 	0.263387 	0.461998 	0.000639647 	6.14356 	1.02115 	1.01121 	1.01121
1 	29 	0.4249 	2.39677 	0.303126 	0.267962 	0.465048 	0.000621719 	5.8294 	1.03428 	1.02209 	1.02209
1 	30 	0.423299 	2.40142 	0.304193 	0.273156 	0.453012 	0.000617488 	6.21337 	1.02229 	1.0124 	1.0124
1 	31 	0.424785 	2.41617 	0.300153 	0.278049 	0.450427 	0.000633589 	6.10865 	1.03143 	1.01844 	1.01844
1 	32 	0.425295 	2.40505 	0.294138 	0.283131 	0.437704 	0.000616874 	6.00393 	1.01166 	1.00624 	1.00624
1 	33 	0.422179 	2.40278 	0.300388 	0.288037 	0.427093 	0.000633782 	6.28319 	1.01353 	1.00876 	1.00876
1 	34 	0.423134 	2.40456 	0.299164 	0.293123 	0.426967 	0.000678266 	6.24828 	1.00707 	1.0078 	1.0078
1 	35 	0.424859 	2.42998 	0.299884 	0.297945 	0.418627 	0.000643856 	6.10865 	1.02011 	1.01291 	1.01291
1 	36 	0.424389 	2.43044 	0.299718 	0.30299 	0.417722 	0.000692137 	6.28319 	1.04853 	1.04923 	1.04923
1 	37 	0.423353 	2.39712 	0.297302 	0.307916 	0.401577 	0.000678029 	6.28319 	1.03395 	1.02274 	1.02274
1 	38 	0.422675 	2.43385 	0.295374 	0.313483 	0.403729 	0.000665052 	6.24828 	1.02312 	1.01415 	1.01415
1 	39 	0.423937 	2.46182 	0.299343 	0.319561 	0.396045 	0.000674645 	6.28319 	1.01784 	1.01471 	1.01471
1 	40 	0.42506 	2.50763 	0.300427 	0.325631 	0.398546 	0.000734 	6.28319 	1.01402 	1.00922 	1.00922
1 	41 	0.4246 	2.55223 	0.297636 	0.332222 	0.398466 	0.000721438 	6.24828 	1.01399 	1.00952 	1.00952
