         0     0.0000     0.0960 3.9497e-01 -2.1892e-01 3.2134e-01 -1.7174e-01
         1    98.7311     0.0000 4.3461e-01 -1.8674e-01 3.5832e-01 -1.5577e-01
         2    80.8417     0.0000 4.3039e-01 -1.8181e-01 3.4943e-01 -1.5147e-01
         3   597.7285     0.0000 4.0979e-01 -2.1313e-01 3.3408e-01 -1.4997e-01
         4    66.7630     0.0000 4.2761e-01 -1.8352e-01 3.4840e-01 -1.4442e-01
         5   138.8727     0.0000 4.0812e-01 -1.8419e-01 3.2396e-01 -1.4560e-01
         6   465.9513     0.0000 4.5032e-01 -1.9562e-01 3.7573e-01 -1.5686e-01
         7    96.7411     0.0000 4.1367e-01 -2.0788e-01 3.3694e-01 -1.5473e-01
         8   130.3170     0.0000 4.3302e-01 -1.8204e-01 3.5536e-01 -1.5145e-01
         9   145.8114     0.0000 4.1996e-01 -1.7615e-01 3.4519e-01 -1.4230e-01
        10   342.4649     0.0000 4.3833e-01 -1.8767e-01 3.5862e-01 -1.5388e-01
        11   261.2268     0.0000 4.5640e-01 -1.7901e-01 3.7616e-01 -1.4718e-01
        12   135.6226     0.0000 4.1816e-01 -1.8212e-01 3.4335e-01 -1.4924e-01
        13   152.2701     0.0000 4.4511e-01 -2.0591e-01 3.6057e-01 -1.6302e-01
        14    24.3277     0.0000 4.2873e-01 -2.0889e-01 3.4745e-01 -1.6264e-01
        15   266.6235     0.0000 4.1544e-01 -1.9459e-01 3.4112e-01 -1.4630e-01
        16     9.4024     0.0009 4.2308e-01 -2.0522e-01 3.4730e-01 -1.6092e-01
        17   626.7426     0.0000 4.4942e-01 -1.8486e-01 3.7110e-01 -1.3820e-01
        18   342.8593     0.0000 4.2868e-01 -2.3213e-01 3.5038e-01 -1.7343e-01
        19    67.0000     0.0000 4.4128e-01 -2.2593e-01 3.5738e-01 -1.7335e-01
        20    40.0781     0.0000 3.9872e-01 -2.2074e-01 3.2607e-01 -1.6750e-01
        21    60.9139     0.0000 3.8712e-01 -1.9114e-01 3.1617e-01 -1.5875e-01
        22   423.0192     0.0000 4.4037e-01 -2.0551e-01 3.6533e-01 -1.5873e-01
        23   504.2450     0.0000 4.4151e-01 -1.9626e-01 3.6412e-01 -1.4821e-01
        24    67.9744     0.0000 4.1095e-01 -2.0909e-01 3.3604e-01 -1.6639e-01
        25   454.2947     0.0000 4.2819e-01 -1.9021e-01 3.5438e-01 -1.4556e-01
        26   412.2363     0.0000 4.3612e-01 -2.0888e-01 3.5963e-01 -1.5923e-01
        27   505.6556     0.0000 4.5041e-01 -2.0538e-01 3.6985e-01 -1.6034e-01
        28   135.3290     0.0000 4.2481e-01 -1.7452e-01 3.4572e-01 -1.4012e-01
        29   333.5487     0.0000 4.0977e-01 -1.2923e-01 3.3080e-01 -1.1079e-01
        30   304.8941     0.0000 4.0819e-01 -1.6274e-01 3.3287e-01 -1.2550e-01
        31    37.9370     0.0000 4.1393e-01 -2.0808e-01 3.3918e-01 -1.6194e-01
        32   408.4565     0.0000 4.6993e-01 -2.0221e-01 3.9141e-01 -1.5160e-01
        33    10.6891     0.0005 4.1937e-01 -2.1067e-01 3.4242e-01 -1.6386e-01
        34   308.7862     0.0000 4.5003e-01 -1.6938e-01 3.7167e-01 -1.4180e-01
        35   156.7062     0.0000 4.0398e-01 -2.1239e-01 3.3289e-01 -1.6712e-01
        36   946.4683     0.0000 4.5414e-01 -2.1007e-01 3.7735e-01 -1.5050e-01
        37   222.9888     0.0000 4.3140e-01 -1.9698e-01 3.5509e-01 -1.6054e-01
        38    68.1902     0.0000 4.0665e-01 -1.9675e-01 3.3186e-01 -1.5782e-01
        39   374.2543     0.0000 4.5650e-01 -1.8612e-01 3.7698e-01 -1.4711e-01
        40    66.6619     0.0000 4.2216e-01 -1.6737e-01 3.4484e-01 -1.3488e-01
        41    61.9136     0.0000 4.1036e-01 -1.9626e-01 3.3466e-01 -1.5811e-01
        42   105.6300     0.0000 4.2448e-01 -1.8648e-01 3.5018e-01 -1.4872e-01
        43   162.2171     0.0000 3.9371e-01 -1.8737e-01 3.2465e-01 -1.4472e-01
        44   129.2100     0.0000 4.1117e-01 -1.8015e-01 3.3534e-01 -1.4705e-01
        45   431.7389     0.0000 4.3816e-01 -2.1470e-01 3.6380e-01 -1.6787e-01
        46   178.1204     0.0000 4.0499e-01 -2.0937e-01 3.2991e-01 -1.6597e-01
        47    11.0003     0.0004 4.1130e-01 -2.0399e-01 3.3381e-01 -1.6539e-01
        48   239.1665     0.0000 4.1113e-01 -1.6719e-01 3.4159e-01 -1.3236e-01
        49    76.9863     0.0000 4.0644e-01 -2.0554e-01 3.3146e-01 -1.6320e-01
        50   165.4420     0.0000 3.9041e-01 -1.8745e-01 3.1602e-01 -1.4655e-01
        51   282.8342     0.0000 4.2673e-01 -2.2944e-01 3.5077e-01 -1.7402e-01
        52   100.2973     0.0000 4.2165e-01 -1.8524e-01 3.4453e-01 -1.4743e-01
        53   121.2197     0.0000 4.3036e-01 -1.9354e-01 3.5038e-01 -1.5815e-01
        54    14.5499     0.0001 3.9605e-01 -2.0460e-01 3.2343e-01 -1.5818e-01
        55   164.9091     0.0000 3.7674e-01 -1.6532e-01 3.0797e-01 -1.3250e-01
