         0     0.0000     0.2523 3.9497e-01 -2.1892e-01 3.2134e-01 -1.7174e-01
         1   308.1731     0.0000 4.3461e-01 -1.8674e-01 3.5832e-01 -1.5577e-01
         2   232.1346     0.0000 4.3039e-01 -1.8181e-01 3.4943e-01 -1.5147e-01
         3  1115.4315     0.0000 4.0979e-01 -2.1313e-01 3.3408e-01 -1.4997e-01
         4    46.1127     0.0000 4.2761e-01 -1.8352e-01 3.4840e-01 -1.4442e-01
         5   125.9763     0.0000 4.0812e-01 -1.8419e-01 3.2396e-01 -1.4560e-01
         6   872.5045     0.0000 4.5032e-01 -1.9562e-01 3.7573e-01 -1.5686e-01
         7   129.7794     0.0000 4.1367e-01 -2.0788e-01 3.3694e-01 -1.5473e-01
         8   252.5101     0.0000 4.3302e-01 -1.8204e-01 3.5536e-01 -1.5145e-01
         9   181.6497     0.0000 4.1996e-01 -1.7615e-01 3.4519e-01 -1.4230e-01
        10   425.7454     0.0000 4.3833e-01 -1.8767e-01 3.5862e-01 -1.5388e-01
        11   413.1673     0.0000 4.5640e-01 -1.7901e-01 3.7616e-01 -1.4718e-01
        12   331.3814     0.0000 4.1816e-01 -1.8212e-01 3.4335e-01 -1.4924e-01
        13    46.3232     0.0000 4.4511e-01 -2.0591e-01 3.6057e-01 -1.6302e-01
        14    80.5988     0.0000 4.2873e-01 -2.0889e-01 3.4745e-01 -1.6264e-01
        15   463.3810     0.0000 4.1544e-01 -1.9459e-01 3.4112e-01 -1.4630e-01
        16   109.4573     0.0000 4.2308e-01 -2.0522e-01 3.4730e-01 -1.6092e-01
        17   836.5411     0.0000 4.4942e-01 -1.8486e-01 3.7110e-01 -1.3820e-01
        18   509.5919     0.0000 4.2868e-01 -2.3213e-01 3.5038e-01 -1.7343e-01
        19   140.4673     0.0000 4.4128e-01 -2.2593e-01 3.5738e-01 -1.7335e-01
        20   147.6416     0.0000 3.9872e-01 -2.2074e-01 3.2607e-01 -1.6750e-01
        21   158.9227     0.0000 3.8712e-01 -1.9114e-01 3.1617e-01 -1.5875e-01
        22   674.8897     0.0000 4.4037e-01 -2.0551e-01 3.6533e-01 -1.5873e-01
        23   674.4530     0.0000 4.4151e-01 -1.9626e-01 3.6412e-01 -1.4821e-01
        24   135.9397     0.0000 4.1095e-01 -2.0909e-01 3.3604e-01 -1.6639e-01
        25   718.7289     0.0000 4.2819e-01 -1.9021e-01 3.5438e-01 -1.4556e-01
        26   802.6112     0.0000 4.3612e-01 -2.0888e-01 3.5963e-01 -1.5923e-01
        27   846.7892     0.0000 4.5041e-01 -2.0538e-01 3.6985e-01 -1.6034e-01
        28   184.0552     0.0000 4.2481e-01 -1.7452e-01 3.4572e-01 -1.4012e-01
        29   620.5101     0.0000 4.0977e-01 -1.2923e-01 3.3080e-01 -1.1079e-01
        30   268.1071     0.0000 4.0819e-01 -1.6274e-01 3.3287e-01 -1.2550e-01
        31    93.6152     0.0000 4.1393e-01 -2.0808e-01 3.3918e-01 -1.6194e-01
        32   616.2612     0.0000 4.6993e-01 -2.0221e-01 3.9141e-01 -1.5160e-01
        33    84.7976     0.0000 4.1937e-01 -2.1067e-01 3.4242e-01 -1.6386e-01
        34   574.0907     0.0000 4.5003e-01 -1.6938e-01 3.7167e-01 -1.4180e-01
        35   253.9579     0.0000 4.0398e-01 -2.1239e-01 3.3289e-01 -1.6712e-01
        36  1525.4818     0.0000 4.5414e-01 -2.1007e-01 3.7735e-01 -1.5050e-01
        37   497.4768     0.0000 4.3140e-01 -1.9698e-01 3.5509e-01 -1.6054e-01
        38    84.9769     0.0000 4.0665e-01 -1.9675e-01 3.3186e-01 -1.5782e-01
        39   685.8736     0.0000 4.5650e-01 -1.8612e-01 3.7698e-01 -1.4711e-01
        40   123.1753     0.0000 4.2216e-01 -1.6737e-01 3.4484e-01 -1.3488e-01
        41    79.2094     0.0000 4.1036e-01 -1.9626e-01 3.3466e-01 -1.5811e-01
        42    97.6010     0.0000 4.2448e-01 -1.8648e-01 3.5018e-01 -1.4872e-01
        43   285.4698     0.0000 3.9371e-01 -1.8737e-01 3.2465e-01 -1.4472e-01
        44   245.5296     0.0000 4.1117e-01 -1.8015e-01 3.3534e-01 -1.4705e-01
        45   665.6165     0.0000 4.3816e-01 -2.1470e-01 3.6380e-01 -1.6787e-01
        46   137.9490     0.0000 4.0499e-01 -2.0937e-01 3.2991e-01 -1.6597e-01
        47    47.7576     0.0000 4.1130e-01 -2.0399e-01 3.3381e-01 -1.6539e-01
        48   484.6340     0.0000 4.1113e-01 -1.6719e-01 3.4159e-01 -1.3236e-01
        49    79.8441     0.0000 4.0644e-01 -2.0554e-01 3.3146e-01 -1.6320e-01
        50   165.6063     0.0000 3.9041e-01 -1.8745e-01 3.1602e-01 -1.4655e-01
        51   533.1016     0.0000 4.2673e-01 -2.2944e-01 3.5077e-01 -1.7402e-01
        52   249.6768     0.0000 4.2165e-01 -1.8524e-01 3.4453e-01 -1.4743e-01
        53   203.4107     0.0000 4.3036e-01 -1.9354e-01 3.5038e-01 -1.5815e-01
        54    59.8603     0.0000 3.9605e-01 -2.0460e-01 3.2343e-01 -1.5818e-01
        55   159.6817     0.0000 3.7674e-01 -1.6532e-01 3.0797e-01 -1.3250e-01
        56   137.8889     0.0000 3.9224e-01 -2.1279e-01 3.2284e-01 -1.6567e-01
        57   226.8145     0.0000 4.4620e-01 -1.8629e-01 3.6842e-01 -1.4402e-01
        58   235.8206     0.0000 4.1894e-01 -1.8537e-01 3.4381e-01 -1.4866e-01
